# US POLITICS NEWS SOURCES - 100+ RSS FEEDS AND LISTING PAGES

## Comprehensive Collection of US Political News Websites and RSS Feeds

| Name | Listing URL | RSS URL | Description | Anti-Scraping |
|------|-------------|---------|-------------|---------------|
| Politico | https://www.politico.com/politics | https://www.politico.com/rss/politicopicks.xml | Comprehensive politics and policy coverage | None |
| Politico Playbook | https://www.politico.com/playbook | https://rss.politico.com/playbook.xml | Daily political briefing and analysis | None |
| Politico White House | https://www.politico.com/white-house | https://rss.politico.com/white-house.xml | White House news and analysis | None |
| Politico Congress | https://www.politico.com/congress | https://rss.politico.com/congress.xml | Congressional news and legislation | None |
| CNN Politics | https://edition.cnn.com/politics | http://rss.cnn.com/rss/cnn_allpolitics.rss | Breaking political news and analysis | None |
| Fox News Politics | https://www.foxnews.com/politics | https://moxie.foxnews.com/google-publisher/politics.xml | Conservative political news coverage | None |
| NBC News Politics | https://www.nbcnews.com/politics | https://feeds.nbcnews.com/feeds/nbcpolitics | Political news from NBC | None |
| ABC News Politics | https://abcnews.go.com/Politics | https://abcnews.go.com/abcnews/politicsheadlines | Political news and analysis | None |
| CBS News Politics | https://www.cbsnews.com/politics | https://www.cbsnews.com/latest/rss/politics | Political news coverage | None |
| Reuters Politics | https://www.reuters.com/politics | https://feeds.reuters.com/Reuters/PoliticsNews | International political news | None |
| AP News Politics | https://apnews.com/politics | https://apnews.com/politics.rss | Associated Press political coverage | None |
| Bloomberg Politics | https://www.bloomberg.com/politics | https://feeds.bloomberg.com/politics/news.rss | Business and politics coverage | Paywall |
| The Hill | https://thehill.com/news | https://thehill.com/news/feed/ | Congress and political news | None |
| The Hill Policy | https://thehill.com/policy | https://thehill.com/policy/feed | Policy analysis and news | None |
| The Hill Opinion | https://thehill.com/opinion | https://thehill.com/opinion/feed | Political opinion and commentary | None |
| Washington Post Politics | https://www.washingtonpost.com/politics | https://feeds.washingtonpost.com/rss/politics | In-depth political coverage | Paywall |
| New York Times Politics | https://www.nytimes.com/section/politics | https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml | Comprehensive politics coverage | Paywall |
| Wall Street Journal Politics | https://www.wsj.com/politics | https://feeds.content.dowjones.io/public/rss/politics | Business-focused political news | Paywall |
| USA Today Politics | https://www.usatoday.com/news/politics | https://rss.usatoday.com/news/politics | National political news | None |
| The Guardian US Politics | https://www.theguardian.com/us-news/us-politics | https://www.theguardian.com/us-news/us-politics/rss | Liberal perspective on US politics | None |
| BBC US Politics | https://www.bbc.com/news/world/us_and_canada | https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml | International view of US politics | None |
| NPR Politics | https://www.npr.org/sections/politics | https://feeds.npr.org/1014/rss.xml | Public radio political coverage | None |
| PBS NewsHour Politics | https://www.pbs.org/newshour/politics | https://www.pbs.org/newshour/feeds/rss/politics | In-depth political reporting | None |
| Axios Politics | https://www.axios.com/politics-policy | https://api.axios.com/feed/politics | Smart political briefings | None |
| Newsweek Politics | https://www.newsweek.com/politics | https://www.newsweek.com/rss | Political news and analysis | None |
| U.S. News Politics | https://www.usnews.com/news/political-news | https://www.usnews.com/rss/news | Political news and rankings | None |
| The Seattle Times Politics | https://www.seattletimes.com/nation-world/nation-politics/ | https://www.seattletimes.com/nation-world/nation-politics/feed/ | National politics coverage | None |
| Miami Herald Politics | https://www.miamiherald.com/news/politics-government/ | https://www.miamiherald.com/news/politics-government/?widgetName=rssfeed&widgetContentId=712015&getXmlFeed=true | Florida and national politics | None |
| Chicago Tribune Politics | https://www.chicagotribune.com/politics/ | https://www.chicagotribune.com/politics/rss2.0.xml | Illinois and national politics | Paywall |
| Los Angeles Times Politics | https://www.latimes.com/politics | https://www.latimes.com/politics/rss2.0.xml | California and national politics | Paywall |
| Denver Post Politics | https://www.denverpost.com/politics/ | https://www.denverpost.com/politics/feed/ | Colorado politics coverage | None |
| Boston Globe Politics | https://www.bostonglobe.com/news/politics | https://www.bostonglobe.com/rss/politics | Massachusetts politics | Paywall |
| Dallas Morning News Politics | https://www.dallasnews.com/news/politics/ | https://www.dallasnews.com/news/politics/feed/ | Texas politics coverage | Paywall |
| Houston Chronicle Politics | https://www.houstonchronicle.com/politics/ | https://www.houstonchronicle.com/politics/feed/ | Texas politics news | Paywall |
| Star Tribune Politics | https://www.startribune.com/politics/ | https://www.startribune.com/politics/feed/ | Minnesota politics | Paywall |
| Philadelphia Inquirer Politics | https://www.inquirer.com/politics | https://www.inquirer.com/politics/feed/ | Pennsylvania politics | Paywall |
| Cleveland.com Politics | https://www.cleveland.com/politics/ | https://www.cleveland.com/politics/feed/ | Ohio politics news | None |
